analysis_run_utc,case_id,episode_id,zone_id,zone_mechanical_state,visit_index,visit_start_row,visit_end_row,visit_start_time,visit_end_time,visit_duration_rows,rigidity_at_visit,capacity_at_visit,fatigue_at_visit,recovery_at_visit,sigma_at_visit,health_at_visit,penetration_at_visit,max_penetration_at_visit,omega_at_visit,attacker_force_at_visit,rigidity_change_from_birth,capacity_change_from_birth,fatigue_change_from_birth,recovery_change_from_birth,rigidity_change_from_previous,capacity_change_from_previous,fatigue_change_from_previous,health_change_from_previous,inside_zone_rows,evolution_state_at_visit,span_source,visit_result,research_only
2026-06-16T07:33:07+00:00,CASE_00001,1,ZONE_CASE_00001_EP_1,RIGID_ZONE,1,35,36,1769904637251,1769904650191,2,27.3,29.26,1.651375,0.0,14.01582,76.622753,59.90021,90.68984,1284.482823,9.722041,-7.7,-1.12,1.651375,0.0,-7.7,-1.12,1.651375,-0.297247,2,LIVE_ACTIVE,force_lull_segments,DAMAGE,True
2026-06-16T07:33:07+00:00,CASE_00003,3,ZONE_CASE_00003_EP_3,RIGID_ZONE,1,41,46,1769904710004,1769904759610,6,27.3,29.26,1.200693,0.0,14.450582,76.703875,41.462504,41.462504,599.157315,15.4632,-7.7,-1.12,1.200693,0.0,-7.7,-1.12,1.200693,-0.216125,2,LIVE_ACTIVE,force_lull_segments,DAMAGE,True
2026-06-16T07:33:07+00:00,CASE_00005,5,ZONE_CASE_00005_EP_5,RIGID_ZONE,1,51,60,1769904814475,1769904949925,10,27.3,29.26,1.088704,0.0,14.922135,76.724033,0.0,67.390584,1023.965616,16.677624,-7.7,-1.12,1.088704,0.0,-7.7,-1.12,1.088704,-0.195967,2,LIVE_ACTIVE,force_lull_segments,DAMAGE,True
2026-06-16T07:33:07+00:00,CASE_00007,7,ZONE_CASE_00007_EP_7,RECOVERED_ZONE,1,31,59,1769904598865,1769904932504,29,76.0,128.0,0.0,0.732673,20.385219,93.792079,107.160092,236.862801,6296.383141,33.522699,16.0,20.0,0.0,0.732673,16.0,20.0,0.0,8.792079,29,LIVE_RECOVERY,force_lull_segments,GROWTH,True
2026-06-16T07:33:07+00:00,CASE_00007,7,ZONE_CASE_00007_EP_7,RECOVERED_ZONE,2,64,67,1769904992813,1769905046762,4,76.0,128.0,0.0,0.891089,20.361915,95.693069,95.183304,150.863183,3113.207205,12.365576,16.0,20.0,0.0,0.891089,0.0,0.0,0.0,1.90099,4,LIVE_RECOVERY,force_lull_segments,GROWTH,True
2026-06-16T07:33:07+00:00,CASE_00007,7,ZONE_CASE_00007_EP_7,RECOVERED_ZONE,3,72,78,1769905140169,1769905237215,7,76.0,128.0,0.0,1.108911,20.430575,98.306931,162.363302,163.159866,3390.381905,13.466957,16.0,20.0,0.0,1.108911,0.0,0.0,0.0,2.613862,7,LIVE_RECOVERY,force_lull_segments,GROWTH,True
2026-06-16T07:33:07+00:00,CASE_00007,7,ZONE_CASE_00007_EP_7,RECOVERED_ZONE,4,85,92,1769905378446,1769905489915,8,76.0,128.0,0.0,1.386139,20.394651,101.633663,83.308101,150.152087,3089.568527,11.8087,16.0,20.0,0.0,1.386139,0.0,0.0,0.0,3.326732,8,LIVE_RECOVERY,force_lull_segments,GROWTH,True
2026-06-16T07:33:07+00:00,CASE_00007,7,ZONE_CASE_00007_EP_7,RECOVERED_ZONE,5,103,107,1769905722054,1769905784536,5,76.0,128.0,0.0,1.683168,20.520402,105.19802,159.518919,222.339547,4617.279136,17.343081,16.0,20.0,0.0,1.683168,0.0,0.0,0.0,3.564357,5,LIVE_RECOVERY,force_lull_segments,GROWTH,True
2026-06-16T07:33:07+00:00,CASE_00007,7,ZONE_CASE_00007_EP_7,RECOVERED_ZONE,6,111,124,1769905849437,1769906102015,14,76.0,128.0,0.0,2.0,20.337047,109.0,88.527037,211.636481,4693.290594,18.86219,16.0,20.0,0.0,2.0,0.0,0.0,0.0,3.80198,14,LIVE_RECOVERY,force_lull_segments,GROWTH,True
2026-06-16T07:33:07+00:00,CASE_00009,9,ZONE_CASE_00009_EP_9,RIGID_ZONE,1,171,173,1769907107610,1769907126547,3,27.3,29.26,0.382766,0.0,17.014907,76.851102,0.0,22.633536,387.625713,15.60645,-7.7,-1.12,0.382766,0.0,-7.7,-1.12,0.382766,-0.068898,2,LIVE_ACTIVE,force_lull_segments,ABSORPTION,True
